datetime,open,high,low,close,volume,kline_status
2024-01-02,40.4,40.4,39.15,39.2,18035438.0,INITIAL
2024-01-03,39.2,39.2,38.09,38.79,19950044.0,TREND_DOWN
2024-01-04,38.71,38.75,37.91,38.25,15703121.0,TREND_DOWN
2024-01-05,38.16,38.74,37.95,38.24,14937160.0,INSIDE
2024-01-08,38.35,38.65,37.96,38.3,13738721.0,INSIDE
2024-01-09,38.35,39.05,38.0,38.96,15883764.0,TREND_UP
2024-01-10,38.77,39.51,38.55,39.04,11209869.0,TREND_UP
2024-01-11,39.04,39.7,38.82,39.45,10691435.0,TREND_UP
2024-01-12,39.26,39.45,38.78,38.85,7534882.000000001,TREND_DOWN
2024-01-15,38.66,39.33,38.57,38.84,8734045.0,TREND_DOWN
2024-01-16,38.62,39.38,38.42,39.3,12601978.0,OUTSIDE
2024-01-17,39.2,39.36,38.7,38.7,11461866.0,INSIDE
2024-01-18,38.56,39.0,37.49,38.86,18417149.0,TREND_DOWN
2024-01-19,38.61,38.78,38.04,38.35,13583396.0,INSIDE
2024-01-22,38.2,38.5,37.4,37.66,16582898.0,TREND_DOWN
2024-01-23,37.65,37.65,36.67,37.28,20616879.0,TREND_DOWN
2024-01-24,37.59,37.79,36.45,37.73,15999150.0,OUTSIDE
2024-01-25,38.05,38.45,37.67,38.42,15954601.0,TREND_UP
2024-01-26,38.25,38.36,37.41,37.86,15547475.0,TREND_DOWN
2024-01-29,37.75,37.93,36.85,36.85,11864341.0,TREND_DOWN
2024-01-30,36.75,37.03,34.1,34.41,39312822.0,TREND_DOWN
2024-01-31,34.41,35.44,34.41,35.22,26303513.0,INSIDE
2024-02-01,35.22,35.37,34.6,34.71,17869006.0,INSIDE
2024-02-02,35.0,35.14,33.38,34.08,18842779.0,TREND_DOWN
2024-02-05,34.48,34.79,32.93,34.38,25697515.0,TREND_DOWN
2024-02-06,34.09,36.39,34.0,36.25,20745504.0,TREND_UP
2024-02-07,36.37,37.15,35.93,36.84,22644206.0,TREND_UP
2024-02-08,36.98,37.82,36.78,37.55,19464765.0,TREND_UP
2024-02-19,38.17,38.2,37.61,37.84,14451728.0,TREND_UP
2024-02-20,38.3,38.35,37.76,38.27,13050437.0,TREND_UP
2024-02-21,38.13,39.88,37.9,39.35,21237930.0,TREND_UP
2024-02-22,39.58,39.59,39.0,39.32,9573273.0,INSIDE
2024-02-23,39.32,39.77,39.08,39.35,11407294.0,TREND_UP
2024-02-26,39.69,39.97,39.18,39.18,9773526.0,TREND_UP
2024-02-27,39.18,39.37,38.46,38.81,16726386.0,TREND_DOWN
2024-02-28,38.82,38.85,38.0,38.0,19057857.0,TREND_DOWN
2024-02-29,37.98,38.35,37.83,38.35,17215143.0,TREND_DOWN
2024-03-01,38.38,38.45,37.9,38.05,16337869.0,TREND_UP
2024-03-04,38.22,38.37,37.85,37.89,14547980.0,TREND_DOWN
2024-03-05,37.71,38.08,37.48,38.0,16572821.0,TREND_DOWN
2024-03-06,37.8,37.95,37.48,37.6,11804920.0,INSIDE
2024-03-07,37.7,38.24,37.01,37.21,14077905.0,OUTSIDE
2024-03-08,37.22,37.55,36.85,37.34,12237588.0,TREND_DOWN
2024-03-11,37.34,38.15,37.2,38.07,16606649.0,TREND_UP
2024-03-12,38.14,39.27,37.92,39.21,23218818.0,TREND_UP
2024-03-13,39.17,39.44,38.54,38.95,13800270.0,TREND_UP
2024-03-14,38.8,39.6,38.53,38.69,11671611.0,OUTSIDE
2024-03-15,38.68,38.97,38.33,38.97,9428369.0,TREND_DOWN
2024-03-18,39.08,39.17,38.6,38.94,12388016.0,TREND_UP
2024-03-19,38.71,38.85,38.5,38.51,8915359.0,TREND_DOWN
2024-03-20,38.51,39.44,38.42,39.23,14908653.0,OUTSIDE
2024-03-21,39.16,39.3,38.65,38.77,9021257.0,INSIDE
2024-03-22,38.69,38.7,37.81,38.04,11903656.0,TREND_DOWN
2024-03-25,38.4,38.46,37.73,37.77,9748954.0,TREND_DOWN
2024-03-26,38.11,38.23,37.68,37.94,9955463.0,TREND_DOWN
2024-03-27,38.2,38.21,35.3,36.38,52748693.00000001,TREND_DOWN
2024-03-28,36.11,36.68,35.78,36.34,25112256.0,INSIDE
2024-03-29,36.38,36.43,35.38,36.4,21025081.0,TREND_DOWN
2024-04-01,36.4,37.24,36.14,36.52,24949570.0,TREND_UP
2024-04-02,36.52,36.55,35.7,35.76,26123949.0,TREND_DOWN
2024-04-03,35.7,35.7,35.21,35.34,18115661.0,TREND_DOWN
2024-04-08,35.36,35.38,34.68,34.84,18973366.0,TREND_DOWN
2024-04-09,34.81,35.03,34.48,34.86,14140601.0,TREND_DOWN
2024-04-10,34.87,34.9,34.15,34.43,17542237.0,TREND_DOWN
2024-04-11,34.06,34.45,33.93,34.13,15610889.0,TREND_DOWN
2024-04-12,34.14,34.5,33.83,34.29,16902959.0,OUTSIDE
2024-04-15,34.02,34.98,34.01,34.84,20938760.0,TREND_UP
2024-04-16,34.5,34.71,34.16,34.17,16841680.0,INSIDE
2024-04-17,34.18,34.87,34.18,34.85,20848483.0,TREND_UP
2024-04-18,34.72,35.2,34.42,34.9,20722418.0,TREND_UP
2024-04-19,34.75,34.92,34.36,34.4,20122478.0,TREND_DOWN
2024-04-22,34.49,35.98,34.43,35.61,30451835.0,TREND_UP
2024-04-23,35.65,35.68,35.15,35.39,13810608.0,INSIDE
2024-04-24,35.46,35.56,34.9,35.09,15563082.0,TREND_DOWN
2024-04-25,35.11,36.24,34.95,36.09,26005217.0,TREND_UP
2024-04-26,35.92,36.38,35.85,36.34,27447495.0,TREND_UP
2024-04-29,36.33,37.15,36.06,36.42,27489842.0,TREND_UP
2024-04-30,36.86,36.97,36.01,36.25,24172816.0,TREND_DOWN
2024-05-06,37.1,37.48,36.82,37.14,31034459.0,TREND_UP
2024-05-07,37.2,37.44,36.82,37.31,22543114.0,INSIDE
2024-05-08,37.26,37.3,36.7,36.87,15523385.0,TREND_DOWN
2024-05-09,36.96,37.78,36.78,37.65,22416842.0,TREND_UP
2024-05-10,37.66,37.86,37.47,37.74,12512748.0,TREND_UP
2024-05-13,37.74,37.74,37.06,37.3,18866095.0,TREND_DOWN
2024-05-14,37.0,37.57,36.52,37.25,23201957.0,TREND_DOWN
2024-05-15,37.25,37.34,36.56,36.66,13491225.0,INSIDE
2024-05-16,36.79,36.85,36.35,36.38,16383496.0,TREND_DOWN
2024-05-17,36.44,38.0,36.38,37.96,35565671.0,TREND_UP
2024-05-20,38.1,38.88,37.79,38.29,24689850.0,TREND_UP
2024-05-21,38.01,39.23,37.96,39.06,29837500.0,TREND_UP
2024-05-22,39.05,39.07,38.5,38.52,15568181.0,INSIDE
2024-05-23,38.55,38.73,38.09,38.52,15592690.0,TREND_DOWN
2024-05-24,38.33,38.42,37.9,37.98,15699966.0,TREND_DOWN
2024-05-27,38.14,38.5,37.8,38.0,15714555.0,OUTSIDE
2024-05-28,37.75,37.98,37.48,37.64,11073529.0,TREND_DOWN
2024-05-29,37.6,37.99,37.41,37.55,9627278.0,OUTSIDE
2024-05-30,37.69,37.69,36.76,36.95,16010714.0,TREND_DOWN
2024-05-31,37.08,37.29,36.77,36.85,13886600.0,INSIDE
2024-06-03,36.95,37.32,36.52,37.25,15020813.0,OUTSIDE
2024-06-04,37.27,37.75,37.0,37.62,12207386.0,TREND_UP
2024-06-05,37.6,37.94,37.48,37.71,9726578.0,TREND_UP
2024-06-06,37.71,38.07,37.19,37.33,15107264.0,OUTSIDE
2024-06-07,37.75,38.2,37.21,37.86,18285315.0,TREND_UP
2024-06-11,37.86,37.88,36.75,37.09,13281359.0,TREND_DOWN
2024-06-12,37.0,37.58,37.0,37.3,8037400.0,INSIDE
2024-06-13,37.3,37.47,36.26,36.5,12729765.0,TREND_DOWN
2024-06-14,36.35,36.83,36.22,36.69,15452600.0,TREND_DOWN
2024-06-17,36.4,36.69,36.19,36.54,11688537.0,TREND_DOWN
2024-06-18,36.5,36.82,36.08,36.13,12149467.0,OUTSIDE
2024-06-19,36.2,36.45,36.0,36.38,8686014.0,TREND_DOWN
2024-06-20,36.33,36.95,36.05,36.09,10228878.0,TREND_UP
2024-06-21,35.92,36.35,35.38,35.9,13920671.0,TREND_DOWN
2024-06-24,36.13,36.13,35.28,35.3,11616131.0,TREND_DOWN
2024-06-25,35.61,35.98,35.35,35.52,14834777.0,INSIDE
2024-06-26,35.46,35.83,35.12,35.75,8849049.0,TREND_DOWN
2024-06-27,35.8,36.04,35.22,35.22,8784267.0,TREND_UP
2024-06-28,35.22,35.98,35.09,35.69,9687845.0,TREND_DOWN
2024-07-01,35.38,35.69,34.52,35.3,11406125.0,TREND_DOWN
2024-07-02,35.14,35.31,34.8,34.9,7844100.0,INSIDE
2024-07-03,34.91,35.05,34.41,34.42,10085891.0,TREND_DOWN
2024-07-04,34.56,34.89,34.32,34.42,8909626.0,TREND_DOWN
2024-07-05,34.42,34.67,33.93,34.42,12658402.0,TREND_DOWN
2024-07-08,34.28,34.53,34.1,34.42,8620900.0,INSIDE
2024-07-09,34.47,34.72,33.96,34.65,11355047.0,OUTSIDE
2024-07-10,34.56,35.19,34.49,34.85,12803805.0,TREND_UP
2024-07-11,35.3,35.49,34.88,35.1,9285423.0,TREND_UP
