datetime,open,high,low,close,volume,kline_status,raw_fractal,candidate_display,valid_fractal
2024-01-02,38.27,38.27,36.8,36.8,5651269.0,INITIAL,,,
2024-01-03,36.64,37.19,36.1,37.16,4245590.0,TREND_DOWN,BOTTOM,,
2024-01-05,37.0,38.8,36.48,36.48,4076916.0,TREND_UP_(M),TOP,Bc,
2024-01-09,36.29,36.29,34.44,34.65,8401620.0,TREND_DOWN_(M),,Tc,
2024-01-10,34.79,35.07,33.92,34.23,4587931.0,TREND_DOWN,BOTTOM,,
2024-01-12,34.11,35.8,34.11,34.5,5683719.0,TREND_UP_(M),TOP,Bc,
2024-01-15,34.5,35.43,33.9,33.95,5736645.0,TREND_DOWN,,Tc,
2024-01-16,33.91,34.89,33.66,34.3,5818915.0,TREND_DOWN,,,
2024-01-17,34.27,34.5,32.24,32.24,9879376.0,TREND_DOWN,,,
2024-01-18,32.04,32.58,31.48,32.47,8344989.999999999,TREND_DOWN,BOTTOM,,
2024-01-19,32.51,33.2,31.51,31.52,7049230.0,TREND_UP,TOP,Bc,
2024-01-22,31.68,32.08,28.68,29.13,13199048.0,TREND_DOWN,,Tc,
2024-01-23,29.01,30.25,28.51,29.87,9248017.0,TREND_DOWN,,,
2024-01-24,29.93,30.03,28.43,29.6,8286932.000000001,TREND_DOWN,BOTTOM,,
2024-01-25,29.68,30.31,29.24,29.99,12392507.0,TREND_UP,TOP,Bc,
2024-01-26,29.73,29.92,27.58,27.88,19099285.0,TREND_DOWN,,Tc,
2024-01-29,28.05,28.48,26.5,26.6,14534799.0,TREND_DOWN,,,
2024-01-30,26.44,26.89,25.1,25.19,15559372.0,TREND_DOWN,,,
2024-01-31,25.4,26.0,23.96,24.0,16234690.0,TREND_DOWN,,,
2024-02-01,24.16,24.5,23.31,23.85,12812354.0,TREND_DOWN,,,
2024-02-02,23.87,24.06,21.52,22.59,15033398.0,TREND_DOWN,,,
2024-02-05,22.4,22.5,19.88,20.79,19678732.0,TREND_DOWN,BOTTOM,,
2024-02-06,20.64,23.0,20.4,22.85,17672317.0,TREND_UP,,Bc,
2024-02-07,22.88,24.5,22.68,24.35,19561865.0,TREND_UP,,,
2024-02-23,24.65,27.42,24.65,26.8,19886767.0,TREND_UP_(M),,,
2024-02-28,27.1,29.74,27.06,27.06,20404934.0,TREND_UP_(M),TOP,,
2024-02-29,26.9,29.47,26.8,28.99,21815642.0,TREND_DOWN,BOTTOM,Tc,
2024-03-01,29.06,30.04,28.8,29.47,17972355.0,TREND_UP,,Bc,
2024-03-04,29.24,30.15,28.91,29.89,16512810.0,TREND_UP,TOP,,
2024-03-05,29.35,29.76,28.31,28.64,17178788.0,TREND_DOWN,,Tc,
2024-03-06,28.3,28.74,27.58,28.21,10171664.0,TREND_DOWN,BOTTOM,,
2024-03-18,28.6,31.27,28.6,30.8,10372887.0,TREND_UP_(M),,Bc,
2024-03-19,30.75,33.17,30.56,31.94,25354855.0,TREND_UP,,,
2024-03-20,32.11,34.18,32.06,33.59,22946576.0,TREND_UP,,,
2024-03-21,34.0,34.28,32.92,33.4,16400296.0,TREND_UP,,,
2024-03-25,33.27,35.83,33.1,33.1,22560107.0,TREND_UP_(M),TOP,,
2024-03-26,32.8,33.6,31.53,32.23,18604757.0,TREND_DOWN,,Tc,
2024-03-27,31.86,32.25,30.58,30.6,11627103.0,TREND_DOWN,,,
2024-03-28,30.5,31.76,30.5,31.45,13910956.0,TREND_DOWN,BOTTOM,,
2024-03-29,31.15,33.86,30.98,33.6,27940339.0,TREND_UP,,Bc,
2024-04-01,33.77,33.87,32.7,33.16,16443997.0,TREND_UP,TOP,,
2024-04-02,32.94,33.1,31.82,32.08,13886045.0,TREND_DOWN,,Tc,
2024-04-08,31.86,31.86,30.77,30.9,12005548.0,TREND_DOWN_(M),BOTTOM,,
